Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0603_1608Metric,142.85,-165.125,-90.0,top
C10,330p,C_0603_1608Metric,154.925,-166.697349,180.0,top
C11,10u,C_1206_3216Metric,157.175,-161.547349,180.0,top
C12,10u,C_1206_3216Metric,160.8,-162.125,-90.0,top
C13,4.7u,C_0603_1608Metric,158.45,-152.725,90.0,top
C14,0.1uF,C_0603_1608Metric,122.875,-124.5,180.0,top
C15,0.1uF,C_0603_1608Metric,142.675,-121.05,0.0,top
C16,0.1uF,C_0603_1608Metric,161.975,-121.05,0.0,top
C17,0.1uF,C_0603_1608Metric,180.975,-121.05,0.0,top
C18,0.1uF,C_0603_1608Metric,199.775,-121.05,0.0,top
C19,0.1uF,C_0603_1608Metric,218.75,-121.0,0.0,top
C2,56u,CP_Radial_D8.0mm_P2.50mm,143.85,-171.35,-90.0,top
C20,0.1uF,C_0603_1608Metric,238.025,-121.0,0.0,top
C21,0.1uF,C_0603_1608Metric,257.125,-121.15,0.0,top
C22,0.1uF,C_0603_1608Metric,288.75,-121.05,0.0,top
C3,0.1uF,C_0603_1608Metric,183.9,-154.2,90.0,top
C4,1uF,C_0603_1608Metric,166.225,-127.9,180.0,top
C5,10nF,C_0603_1608Metric,169.325,-127.9,0.0,top
C6,0.1uF,C_0603_1608Metric,143.0,-129.2,90.0,top
C7,1u,C_0603_1608Metric,145.275,-165.9,180.0,top
C8,10n,C_0603_1608Metric,155.6,-164.322349,-90.0,top
C9,100n,C_0603_1608Metric,148.1,-158.822349,90.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,117.4,-122.7,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,263.5,-122.75,0.0,top
D11,D_Schottky,D_SMA,150.75,-156.597349,90.0,top
D12,LED,LED_0805_2012Metric,166.0,-160.2,-90.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,295.2,-122.7,0.0,top
D14,D_Schottky,D_SMA,136.45,-134.2,-90.0,top
D15,LED,LED_0805_2012Metric,169.15,-159.1,-90.0,top
D16,LED,LED_0805_2012Metric,136.91,-143.34,0.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,149.15,-122.7,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,168.2,-122.7,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,187.25,-122.7,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,206.35,-122.7,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,225.35,-122.7,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,244.4,-122.7,0.0,top
D8,SM15T33CA,D_SMC,148.65,-149.7,0.0,top
D9,D_Schottky,D_SMA,145.3,-156.85,90.0,top
L1,2.2u,L_1210_3225Metric,145.35,-162.75,-90.0,top
L2,10u,L_Sunlord_MWSA0503S,155.95,-157.397349,0.0,top
R1,1,R_0603_1608Metric,142.85,-162.1,-90.0,top
R10,40,R_0805_2012Metric,195.6,-153.8,90.0,top
R11,10k,R_0603_1608Metric,173.6,-157.0,90.0,top
R12,40,R_0805_2012Metric,195.55,-132.0125,90.0,top
R13,40,R_0805_2012Metric,195.5,-135.5,90.0,top
R14,40,R_0805_2012Metric,195.5,-139.0875,90.0,top
R16,40,R_0805_2012Metric,195.6,-146.5125,90.0,top
R17,40,R_0805_2012Metric,195.55,-142.7625,90.0,top
R18,40,R_0805_2012Metric,195.55,-128.4125,90.0,top
R2,10k,R_0603_1608Metric,148.825,-166.697349,0.0,top
R3,12k,R_0603_1608Metric,151.875,-166.697349,180.0,top
R4,68k,R_0603_1608Metric,154.925,-168.247349,0.0,top
R5,510,R_0603_1608Metric,163.4,-161.6,-90.0,top
R6,510,R_0603_1608Metric,172.0,-158.9,90.0,top
R7,120,R_0603_1608Metric,143.175,-144.5,0.0,top
R8,120,R_0603_1608Metric,136.925,-145.1,180.0,top
R9,40,R_0805_2012Metric,195.6,-150.1875,90.0,top
SW1,RESET1,SW_SPST_TL3342,178.85,-155.2,180.0,top
SW2,BOOT1,SW_SPST_TL3342,148.25,-131.95,0.0,top
U1,ESP32-S3-MINI-1,ESP32-S3-MINI-1U,163.4,-137.4,-90.0,top
U2,LMR14020,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,150.97,-163.097349,270.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,164.05,-153.2,180.0,top
U4,TJA1051T-3,SOIC-8_3.9x4.9mm_P1.27mm,148.675,-143.055,90.0,top
U7,USBLC6-2SC6,SOT-23-6,136.5875,-140.45,270.0,top
USB1,C10418,MICRO-USB-SMD_5P-P0.65-H-F_C10418,130.7875,-140.7,-90.0,top
